试验时间,因子名,股票池,持有期,调仓,起止,样本期数,IC均值,ICIR年化,t统计量,多空年化,多空夏普,备注
2026-08-04 16:17:48,12-1月动量,,20,20,2016-08-04~2026-08-04,2198,-0.00454,-0.0989,-1.324,0.0307,0.191,
2026-08-04 16:18:04,20日反转,,20,20,2016-08-04~2026-08-04,2423,0.01476,0.3708,5.216,0.0265,0.203,
2026-08-04 16:18:38,20日反转(5日持有),Prime,5,5,2016-08-04~2026-08-04,2438,0.00878,0.4144,2.923,0.0199,0.138,参数探索
2026-08-04 16:18:54,20日反转(60日持有),Prime,60,60,2016-08-04~2026-08-04,2383,0.00282,0.0506,1.223,-0.0453,-0.358,参数探索
2026-08-04 16:19:09,5日反转,Prime,20,20,2016-08-04~2026-08-04,2434,0.00764,0.218,3.072,0.0173,0.138,参数探索
2026-08-04 16:19:25,60日反转,Prime,20,20,2016-08-04~2026-08-04,2383,0.00594,0.1408,1.964,-0.0223,-0.159,参数探索
2026-08-04 16:19:40,低波动60日,Prime,20,20,2016-08-04~2026-08-04,2413,0.00905,0.1758,2.468,-0.0962,-0.574,参数探索
2026-08-04 16:19:54,12-1动量(60日持有),Prime,60,60,2016-08-04~2026-08-04,2158,-0.00496,-0.0732,-1.682,0.0316,0.214,参数探索
2026-08-04 16:28:34,20日反转-原始,Prime,20,20,2016-08-04~2026-08-04,2423,0.01476,0.3708,5.216,0.0265,0.203,稳健性检验
2026-08-04 16:28:51,20日反转-行业中性,Prime,20,20,2016-08-04~2026-08-04,2423,0.01179,0.4002,5.628,0.026,0.252,稳健性检验
2026-08-04 16:29:07,20日反转-行业+规模中性,Prime,20,20,2016-08-04~2026-08-04,2423,0.01134,0.3852,5.418,0.0278,0.267,稳健性检验
2026-08-04 18:33:21,趋势诊断得分(10项),Prime,20,20,2016-08-04~2026-08-04,2414,-0.01005,-0.2762,-3.877,-0.0003,-0.003,验证自定判据
2026-08-04 18:35:28,趋势诊断得分(10项),Prime,20,20,2016-08-04~2026-08-04,2414,-0.01006,-0.2766,-3.882,0.0,0.0,验证自定判据
